age,target
85,45480
76,49828
34,38782
70,44545
60,33919
19,47385
44,22640
39,30327
67,41638
19,43041
56,26060
75,37574
59,40284
48,35035
23,42974
69,31919
88,22421
28,36927
21,36362
23,46445
53,41071
74,34640
69,42325
83,47989
80,25770
67,34916
35,32224
41,34633
82,33110
63,44316
87,49578
53,33222
63,49233
86,23130
68,39407
49,31083
36,30768
51,20802
53,34108
49,30164
83,33945
89,20818
40,36394
57,28361
83,47639
38,33702
43,49534
49,36847
90,39984
22,30959
89,23821
39,20452
37,29486
29,29042
77,33018
79,44707
82,25254
26,21214
83,33382
82,37969
82,27027
50,27638
64,26999
68,36029
27,40028
33,22327
19,49476
30,39127
34,22300
30,35067
45,29353
85,40934
88,36582
72,22672
59,45714
37,40722
65,38403
79,36517
45,48732
89,43457
86,45122
41,45929
84,46342
29,46209
54,35999
78,33217
43,47031
57,34410
50,38938
35,37633
49,40674
35,21155
45,32236
33,39734
51,30633
22,24659
34,32647
87,27539
77,41369
44,33490
